noise_model,level,avg_waiting_time
uniform,0.0,20792.706740442656
uniform,0.1,20820.46931589537
uniform,0.2,20886.74698189135
uniform,0.3,20968.994466800807
uniform,0.5,21396.00452716298
uniform,0.75,22181.587525150906
uniform,1.0,25910.282696177062
uniform,1.5,99723.22484909456
uniform,2.0,173630.93259557345
uniform,3.0,342703.1926559356
uniform,5.0,295319.6941649899
