noise_model,level,avg_waiting_time
lognormal,0.0,20792.706740442656
lognormal,0.25,21172.778672032193
lognormal,0.5,22149.549798792756
lognormal,1.0,26086.468309859156
lognormal,1.5,32143.594567404427
lognormal,2.0,42744.882293762574
lognormal,3.0,90424.28118712273
