scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,context_switches
FCFS,600249.8712273642,600667.1453722334,600249.8712273642,1987
RR(q=4),41516.34607645875,41933.62022132797,3187.1956740442656,208226
SRTF+ExpAvg,227374.6237424547,227791.89788732395,227374.2439637827,1988
SRTF+Last2,227433.89939637826,227851.1735412475,227433.89939637826,1987
SRTF+Linear,141665.06187122737,142082.33601609658,141665.06187122737,1987
SRTF+GBM,106435.35060362173,106852.62474849094,106435.35060362173,1987
SRTF+Oracle,20792.706740442656,21209.98088531187,20792.706740442656,1987
