scheduler,avg_waiting_time,avg_turnaround_time,avg_response_time,context_switches
FCFS,600249.8712273642,600667.1453722334,600249.8712273642,1987
RR(q=4),41516.34607645875,41933.62022132797,3187.1956740442656,208226
SRTF+ExpAvg,229429.58853118712,229846.86267605633,229428.3667002012,1989
SRTF+Last2,229429.21327967808,229846.4874245473,229427.98189134808,1989
SRTF+Linear,407672.6916498994,408089.9657947686,407620.44517102616,1988
SRTF+GBM,606691.5643863179,607108.8385311872,606675.1353118712,1990
SRTF+Oracle,20792.706740442656,21209.98088531187,20792.706740442656,1987
